GRT_LABELLED_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 3
TotalNumExamples: 25
NumberOfClasses: 5
ClassIDsAndCounters: 
1	5	NOT_SET
2	5	NOT_SET
3	5	NOT_SET
4	5	NOT_SET
5	5	NOT_SET
UseExternalRanges: 0
Data:
1	1	56	127
1	4	64	125
1	0	62	115
1	3	70	125
1	0	61	120
2	127	61	0
2	116	61	9
2	122	67	2
2	114	78	0
2	116	58	6
3	67	58	58
3	60	61	65
3	65	66	56
3	59	70	59
3	64	65	66
4	127	127	127
4	121	118	123
4	124	114	126
4	113	127	119
4	123	114	127
5	0	0	0
5	3	3	2
5	0	7	7
5	5	3	7
5	5	7	10
